Order ID,Date,Region,Product,Quantity,Price,Sales
1,2024-01-01,South,Laptop,8,492.24,3937.92
2,2024-01-02,West,Monitor,5,626.59,3140.78
3,2024-01-03,North,Phone,19,402.41,7684.02
4,2024-01-04,West,Monitor,1,478.79,482.38
5,2024-01-05,North,Monitor,14,502.89,7110.86
6,2024-01-06,South,Phone,15,609.45,90000.0
7,2024-01-07,East,Monitor,9,,5866.04
8,2024-01-08,South,Tablet,19,444.43,8591.94
9,2024-01-09,South,Laptop,19,405.58,7860.14
10,2024-01-10,North,Phone,5,357.29,1826.65
11,2024-01-11,East,Phone,4,603.1,2472.71
12,2024-01-12,South,Laptop,4,489.12,2010.28
13,2024-01-13,North,Monitor,2,444.2,915.05
14,2024-01-14,East,Tablet,7,491.88,3555.06
15,2024-01-15,North,Monitor,5,291.29,1507.43
16,2024-01-16,South,Phone,2,357.87,742.58
17,2024-01-17,North,Laptop,11,570.7,6528.81
18,2024-01-18,South,Tablet,13,527.52,7149.21
19,2024-01-19,North,Laptop,16,507.85,8491.25
20,2024-01-20,North,Tablet,8,415.71,3483.65
21,2024-01-21,East,Phone,6,542.83,3419.83
22,2024-01-22,North,Monitor,11,638.07,7387.26
23,2024-01-23,South,Monitor,10,397.82,4197.0
24,2024-01-24,West,Laptop,18,496.95,9459.44
25,2024-01-25,West,Phone,10,460.95,4886.07
26,2024-01-26,East,Phone,17,524.61,9475.77
27,2024-01-27,South,Tablet,2,496.85,1058.29
28,2024-01-28,North,Laptop,18,483.95,9299.1
29,2024-01-29,North,Phone,8,425.13,3639.11
30,2024-01-30,West,Laptop,18,494.43,9544.97
31,2024-01-31,South,Monitor,3,446.54,1440.09
32,2024-02-01,North,Laptop,12,483.97,6257.73
33,2024-02-02,South,Monitor,11,490.6,5828.33
34,2024-02-03,East,Monitor,10,548.02,5932.32
35,2024-02-04,South,Tablet,5,449.09,2436.31
36,2024-02-05,West,Phone,1,469.81,510.92
37,2024-02-06,North,Tablet,3,581.44,1901.31
38,2024-02-07,South,Monitor,2,478.21,1044.89
39,2024-02-08,South,Phone,12,474.72,6237.82
40,2024-02-09,North,Laptop,10,564.82,6198.9
41,2024-02-10,South,Tablet,8,517.48,4553.82
42,2024-02-11,West,Phone,17,502.98,9427.1
43,2024-02-12,South,Tablet,8,513.3,4537.57
44,2024-02-13,North,Tablet,9,396.56,3952.71
45,2024-02-14,East,Tablet,2,532.66,1182.51
46,2024-02-15,South,Tablet,1,601.9,669.61
47,2024-02-16,South,Phone,19,542.39,11490.53
48,2024-02-17,East,Phone,5,371.51,2075.81
49,2024-02-18,North,Tablet,4,518.82,2324.31
50,2024-02-19,East,Tablet,15,423.78,7135.4
